shop_name,product_demanded,base_multiplier,peak_multiplier
BAKERY,EGG,1.5,2.0
BAKERY,WHEAT,1.5,2.0
PIZZA_SHOP,MILK,1.5,2.0
PIZZA_SHOP,TOMATO,1.5,2.0
PIZZA_SHOP,WHEAT,1.5,2.0
BRUNCH_SPOT,EGG,1.5,2.0
BRUNCH_SPOT,WHEAT,1.5,2.0
BRUNCH_SPOT,STRAWBERRY,1.5,2.0
YARN_STORE,WOOL,1.5,2.0
ICE_CREAM_SHOP,STRAWBERRY,1.5,2.0
ICE_CREAM_SHOP,MILK,1.5,2.0
ICE_CREAM_SHOP,WHEAT,1.5,2.0
PET_CAFE,CARROT,1.5,2.0
SMOOTHIE_SHOP,STRAWBERRY,1.5,2.0
SMOOTHIE_SHOP,MILK,1.5,2.0
FARMERS_MARKET,WHEAT,1.5,2.0
FARMERS_MARKET,CARROT,1.5,2.0
FARMERS_MARKET,TOMATO,1.5,2.0
FARMERS_MARKET,STRAWBERRY,1.5,2.0
